"index","detaileddesignstatus","fiberpullfootage","ponlocationapproved","residentialhhp","strandfootage","constructionpackagestatus","project","permitsapproved","borefootage","asbuiltscomplete","specialprojectsmduhoaother","businesshhp","totalhhp","detaileddesignstartdate","ponsize","projectedborefootage","odc","ponlocationdesigned","detaileddesigncompletiondate","preliminarycxpsenttoconstruction","asbuiltsreceivedfromconstruction","phase","estimatedaerialpercent","estimatedugpercent","estimatedpathfootage","dateconstructionpassedtooperations","poncabinetsetdate","actualactivationdate","constructionstartdate","borefootagecompleted","remainingstrand","targetconstructioncompletedate","actualconstructioncompletedate","asbuiltssenttoengineering","constructionpercentagecompleted","dateopsapprovedforactivation","strandcompleted","targetactivationdate","borefootageremaining","odccabinetready","numpermits","permitapprovalstatus","permitapproveddate","permitsubmitdate","packagestatus","package","hiearchy","packagepercentcomplete","ring","feeder","packagehomesearned","rolluphomesearned","downstreamhomes"
272,Complete,0.0,"","",0,"",Medina Fiber,YES,0,"","","","128.0","2022-07-06","","8180.0",HIA04,"7/29/21","2022-08-31","","","6",0.0,1.0,8180,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Permits Approved,"2021-12-08","2021-11-15",Permits Approved Ready For Construction,BC04,F3,0.1,HIA HIB Ring,HIA04-2,6,6,128
273,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","119.0","2022-07-07","","6150.0",HIA04,"7/29/21","2022-08-31","","","6",0.0,1.0,6150,"","","","",0,0,"","","","","",0,"","0.0",NO,3,Not Submitted,,,Construction Package,BC16,F3,0.05,HIA HIB Ring,HIA04-2,3,3,119
274,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","158.0","2022-07-12","","8024.0",HIA04,"7/29/21","2022-08-31","","","6",0.0,1.0,8024,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC15,F3,0.05,HIA HIB Ring,HIA04-2,4,4,158
275,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","96.0","2022-07-14","","8487.0",HIA04,"7/29/21","2022-09-02","","","6",0.0,1.0,8487,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Construction Package,BC14,F3,0.05,HIA HIB Ring,HIA04-2,2,2,96
276,Complete,0.0,"","300.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","300.0","2022-07-18","","",HIA04,"7/29/21","2022-09-02","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BC14.1,F3,0.05,HIA HIB Ring,HIA04-2,8,8,300
277,Complete,0.0,"","61.0",0,"",Medina Fiber,"",0,"",MDU,"99.0","160.0","2022-07-18","","6722.0",HIA04,"7/29/21","2022-09-06","","","6",0.0,1.0,6722,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Construction Package,BC11,F3,0.05,HIA HIB Ring,HIA04-2,4,4,160
278,Complete,0.0,"","",0,"",Medina Fiber,"",0,"",HOA,"","194.0","2022-07-20","","6473.0",HIA04,"7/29/21","2022-09-06","","","6",0.0,1.0,6473,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC09.1,F3,0.05,HIA HIB Ring,HIA04-2,5,5,194
279,Complete,0.0,"","359.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","359.0","2022-07-27","","5561.0",HIA04,"7/29/21","2022-09-07","","","6",0.0,1.0,5561,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC10,F3,0.05,HIA HIB Ring,HIA04-2,9,9,359
280,Complete,0.0,"","352.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","352.0","2022-08-15","","",HIA04,"","2022-09-07","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BC10.1,F3,0.05,HIA HIB Ring,HIA04-2,9,9,352
281,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","94.0","2022-08-16","","10232.0",HIA04,"7/29/21","2022-09-08","","","6",0.0,1.0,10232,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BS05,F3,0.05,HIA HIB Ring,HIA04-2,2,2,94
282,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","95.0","2022-07-28","","15137.0",HIA04,"7/29/21","2022-09-13","","","6",0.0,1.0,15137,"","","","",0,0,"","","","","",0,"","0.0",NO,3,Not Submitted,,,Construction Package,BS04,F3,0.05,HIA HIB Ring,HIA04-2,2,2,95
283,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","96.0","2022-08-01","","10272.0",HIA04,"7/29/21","2022-09-13","","","6",0.0,1.0,10272,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BS03,F3,0.05,HIA HIB Ring,HIA04-2,2,2,96
284,Complete,0.0,"","",0,"",Medina Fiber,"",0,"",HOA,"","96.0","2022-08-03","","9743.0",HIA04,"7/29/21","2022-09-14","","","6",0.0,1.0,9743,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Construction Package,BS02,F3,0.05,HIA HIB Ring,HIA04-2,2,2,96
285,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","63.0","2022-08-08","","6456.0",HIA04,"7/29/21","2022-09-14","","","6",0.0,1.0,6456,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BS01,F3,0.05,HIA HIB Ring,HIA04-2,2,2,63
286,Complete,0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIA05,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,HIA05-1,F2,0.05,HIA HIB Ring,HIA05-1,3,8,191
287,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","191.0","2022-06-23","","10948.0",HIA05,"7/29/21","2022-08-24","","","6",0.0,1.0,10948,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC21,F3,0.05,HIA HIB Ring,HIA05-1,5,5,191
288,In Progress,0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIA05,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,HIA05-2,F2,0.025,HIA HIB Ring,HIA05-2,17,65,1904
289,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","160.0","2022-06-28","","6558.0",HIA05,"7/29/21","2022-09-15","","","6",0.0,1.0,6558,"","","","",0,0,"","","","","",0,"","0.0",NO,3,Not Submitted,,,Construction Package,BC13,F3,0.05,HIA HIB Ring,HIA05-2,4,4,160
290,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","117.0","2022-06-29","","7518.0",HIA05,"7/29/21","2022-09-16","","","6",0.0,1.0,7518,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC06,F3,0.05,HIA HIB Ring,HIA05-2,3,3,117
291,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","143.0","2022-07-01","","7580.0",HIA05,"7/29/21","2022-11-03","","","6",0.0,1.0,7580,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BC05,F3,0.05,HIA HIB Ring,HIA05-2,4,4,143
292,Complete,0.0,"","",0,"",Medina Fiber,"",0,"",HOA,"","80.0","2022-07-06","","",HIA05,"7/29/21","2022-09-16","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BC17.1,F3,0.05,HIA HIB Ring,HIA05-2,2,2,80
293,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","118.0","2022-07-06","","3706.0",HIA05,"7/29/21","2022-09-16","","","6",0.0,1.0,3706,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC17,F3,0.05,HIA HIB Ring,HIA05-2,3,3,118
294,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","160.0","2022-07-07","","11471.0",HIA05,"7/29/21","2022-09-27","","","6",0.0,1.0,11471,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC18,F3,0.05,HIA HIB Ring,HIA05-2,4,4,160
295,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","216.0","2022-07-11","","8389.0",HIA05,"7/29/21","2022-09-27","","","6",0.0,1.0,8389,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC19,F3,0.05,HIA HIB Ring,HIA05-2,5,5,216
296,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","125.0","2022-07-12","","8222.0",HIA05,"7/29/21","2022-10-31","","","6",0.0,1.0,8222,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Construction Package,BC07,F3,0.05,HIA HIB Ring,HIA05-2,3,3,125
297,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","124.0","2022-07-12","","6223.0",HIA05,"7/29/21","2022-11-01","","","6",0.0,1.0,6223,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC08,F3,0.05,HIA HIB Ring,HIA05-2,3,3,124
298,Complete,0.0,"","",0,"",Medina Fiber,"",0,"",MDU,"","82.0","2022-07-11","","2302.0",HIA05,"7/29/21","2022-10-13","","","6",0.0,1.0,2302,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC20.1,F3,0.05,HIA HIB Ring,HIA05-2,2,2,82
299,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","121.0","2022-07-12","","5121.0",HIA05,"7/29/21","2022-10-24","","","6",0.0,1.0,5121,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BE04,F3,0.05,HIA HIB Ring,HIA05-2,3,3,121
300,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","156.0","2022-07-13","","6316.0",HIA05,"7/29/21","2022-10-31","","","6",0.0,1.0,6316,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BE05,F3,0.05,HIA HIB Ring,HIA05-2,4,4,156
301,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","148.0","2022-07-13","","7240.0",HIA05,"7/29/21","2022-10-31","","","6",0.0,1.0,7240,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BE06,F3,0.05,HIA HIB Ring,HIA05-2,4,4,148
302,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","154.0","2022-07-13","","8015.0",HIA05,"7/29/21","2022-10-25","","","6",0.0,1.0,8015,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Construction Package,BE03,F3,0.05,HIA HIB Ring,HIA05-2,4,4,154
303,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIA06,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIA06-1,F2,0.0,HIA HIB Ring,HIA06-1,0,30,1186
304,Complete,0.0,"","204.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","204.0","2022-07-08","","",HIA06,"7/29/21","2022-11-07","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BC34.1,F3,0.05,HIA HIB Ring,HIA06-1,5,5,204
305,Complete,0.0,"","534.0",0,"",Medina Fiber,"",0,"",MDU,"66.0","600.0","2022-07-11","","15989.0",HIA06,"7/29/21","2022-11-08","","","6",0.0,1.0,15989,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Construction Package,BE07,F3,0.05,HIA HIB Ring,HIA06-1,15,15,600
306,Complete,0.0,"","46.0",0,"",Medina Fiber,"",0,"",HOA,"0.0","46.0","2022-07-19","","",HIA06,"7/29/21","2022-11-09","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BE08.1,F3,0.05,HIA HIB Ring,HIA06-1,1,1,46
307,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","190.0","2022-07-19","","9383.0",HIA06,"7/29/21","2022-11-09","","","6",0.0,1.0,9383,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BE08,F3,0.05,HIA HIB Ring,HIA06-1,5,5,190
308,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","120.0","2022-07-18","","7304.0",HIA06,"7/29/21","2022-11-08","","","6",0.0,1.0,7304,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BE09,F3,0.05,HIA HIB Ring,HIA06-1,3,3,120
309,Complete,0.0,"","26.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","26.0","2022-07-18","","",HIA06,"7/29/21","2022-11-08","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BE09.1,F3,0.05,HIA HIB Ring,HIA06-1,1,1,26
310,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIA06,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIA06-2,F2,0.0,HIA HIB Ring,HIA06-2,0,42,2130
311,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","176.0","2022-08-09","","11564.0",HIA06,"7/29/21","2022-11-29","","","6",0.0,1.0,11564,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Construction Package,BC36,F3,0.05,HIA HIB Ring,HIA06-2,4,4,176
312,Complete,0.0,"","100.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","100.0","2022-08-09","","",HIA06,"7/29/21","2022-11-29","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BC36.1,F3,0.05,HIA HIB Ring,HIA06-2,2,2,100
313,Complete,0.0,"","408.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","408.0","2022-08-02","","6343.0",HIA06,"7/29/21","2022-11-28","","","6",0.0,1.0,6343,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Construction Package,BC35,F3,0.05,HIA HIB Ring,HIA06-2,10,10,408
314,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","200.0","2022-08-18","","16793.0",HIA06,"7/29/21","2022-11-29","","","6",0.0,1.0,16793,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Construction Package,BC34,F3,0.05,HIA HIB Ring,HIA06-2,5,5,200
315,In Corrections,0.0,"","",0,"",Medina Fiber,"",0,"","","","253.0","2022-08-19","","16161.0",HIA06,"7/29/21","","","","6",0.0,1.0,16161,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Detailed Design,BC12,F3,0.025,HIA HIB Ring,HIA06-2,3,3,253
316,In Corrections,0.0,"","238.0",0,"",Medina Fiber,"",0,"",MDU,"71.0","309.0","2022-08-24","","7377.0",HIA06,"7/29/21","","","","6",0.0,1.0,7377,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BC22,F3,0.025,HIA HIB Ring,HIA06-2,4,4,309
317,Complete,0.0,"","104.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","104.0","2022-08-29","","1444.0",HIA06,"7/29/21","2022-12-02","","","6",0.0,1.0,1444,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC23,F3,0.05,HIA HIB Ring,HIA06-2,3,3,104
318,In Corrections,0.0,"","",0,"",Medina Fiber,"",0,"","","","251.0","2022-08-30","","13590.0",HIA06,"7/29/21","","","","6",0.0,1.0,13590,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Detailed Design,BC24,F3,0.025,HIA HIB Ring,HIA06-2,3,3,251
319,Complete,0.0,"","",0,"",Medina Fiber,"",0,"","","","201.0","2022-09-01","","9592.0",HIA06,"7/29/21","2022-12-02","","","6",0.0,1.0,9592,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC25,F3,0.05,HIA HIB Ring,HIA06-2,5,5,201
320,Complete,0.0,"","128.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","128.0","2022-09-06","","4310.0",HIA06,"7/29/21","2022-12-02","","","6",0.0,1.0,4310,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Construction Package,BC26.1,F3,0.05,HIA HIB Ring,HIA06-2,3,3,128
321,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIA07,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIA07-1,F2,0.0,HIA HIB Ring,HIA07-1,0,4,248
322,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","120.0","2022-07-25","","12734.0",HIA07,"7/29/21","","","","6",0.0,1.0,12734,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BE10B,F3,0.025,HIA HIB Ring,HIA07-1,2,2,120
323,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","128.0","2022-07-25","","",HIA07,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BE10A,F3,0.025,HIA HIB Ring,HIA07-1,2,2,128
324,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIA07,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIA07-2,F2,0.0,HIA HIB Ring,HIA07-2,0,21,1703
325,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","223.0","2022-07-26","","24888.0",HIA07,"7/29/21","","","","6",0.0,1.0,24888,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BE11A,F3,0.025,HIA HIB Ring,HIA07-2,3,3,223
326,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","220.0","2022-07-28","","",HIA07,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BE11B,F3,0.025,HIA HIB Ring,HIA07-2,3,3,220
327,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","191.0","2022-08-08","","12850.0",HIA07,"7/29/21","","","","6",0.0,1.0,12850,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Detailed Design,BN20,F3,0.025,HIA HIB Ring,HIA07-2,2,2,191
328,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","151.0","2022-08-09","","15723.0",HIA07,"7/29/21","","","","6",0.0,1.0,15723,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BN19B,F3,0.025,HIA HIB Ring,HIA07-2,2,2,151
329,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","186.0","2022-08-10","","",HIA07,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BN19A,F3,0.025,HIA HIB Ring,HIA07-2,2,2,186
330,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","152.0","2022-08-15","","13043.0",HIA07,"7/29/21","","","","6",0.0,1.0,13043,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BN18A,F3,0.025,HIA HIB Ring,HIA07-2,2,2,152
331,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","146.0","2022-08-16","","",HIA07,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BN18B,F3,0.025,HIA HIB Ring,HIA07-2,2,2,146
332,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","185.0","2022-08-16","","11296.0",HIA07,"7/29/21","","","","6",0.0,1.0,11296,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BN17,F3,0.025,HIA HIB Ring,HIA07-2,2,2,185
333,Ready For QC,0.0,"","249.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","249.0","2022-08-17","","4359.0",HIA07,"7/29/21","","","","6",0.0,1.0,4359,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Detailed Design,BN13,F3,0.025,HIA HIB Ring,HIA07-2,3,3,249
334,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIB01,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIB01-1,F2,0.0,HIA HIB Ring,HIB01-1,0,17,1342
335,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","141.0","2022-08-09","","11972.0",HIB01,"7/29/21","2022-08-12","","","6",0.0,1.0,11972,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Detailed Design,BC33,F3,0.025,HIA HIB Ring,HIB01-1,2,2,141
336,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","160.0","2022-08-22","","9499.0",HIB01,"7/29/21","2022-08-23","","","6",0.0,1.0,9499,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Detailed Design,BC29,F3,0.025,HIA HIB Ring,HIB01-1,2,2,160
337,Ready For QC,0.0,"","109.0",0,"",Medina Fiber,"",0,"",HOA,"40.0","149.0","2022-08-25","","9250.0",HIB01,"7/29/21","2022-08-26","","","6",0.0,1.0,9250,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Detailed Design,BN04,F3,0.025,HIA HIB Ring,HIB01-1,2,2,149
338,Ready For QC,0.0,"","132.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","132.0","2022-08-29","","3774.0",HIB01,"7/29/21","","","","6",0.0,1.0,3774,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Detailed Design,BN03,F3,0.025,HIA HIB Ring,HIB01-1,2,2,132
339,Ready For QC,0.0,"","256.0",0,"",Medina Fiber,"",0,"",HOA,"0.0","256.0","2022-09-01","","13004.0",HIB01,"7/29/21","","","","6",0.0,1.0,13004,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Detailed Design,BN02,F3,0.025,HIA HIB Ring,HIB01-1,3,3,256
340,Not Started,0.0,"","",0,"",Medina Fiber,"",0,"","","","128.0","","","19262.0",HIC01,"8/6/21","","","","8",0.0,1.0,19262,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,LV08,F3,0.0,HIC Ring,HIC01-1,0,0,128
341,Ready For QC,0.0,"","43.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","43.0","2022-09-08","","",HIB01,"7/29/21","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BN04.2,F3,0.025,HIA HIB Ring,HIB01-1,1,1,43
342,Ready For QC,0.0,"","190.0",0,"",Medina Fiber,"",0,"",HOA,"0.0","190.0","2022-09-14","","12043.0",HIB01,"7/29/21","","","","6",0.0,1.0,12043,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Detailed Design,BN05,F3,0.025,HIA HIB Ring,HIB01-1,2,2,190
343,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","95.0","2022-09-19","","14799.0",HIB01,"7/29/21","","","","6",0.0,1.0,14799,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BN06B,F3,0.025,HIA HIB Ring,HIB01-1,1,1,95
344,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","176.0","2022-09-20","","",HIB01,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BN06A,F3,0.025,HIA HIB Ring,HIB01-1,2,2,176
345,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIB01,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIB01-2,F2,0.0,HIA HIB Ring,HIB01-2,0,8,656
346,Ready For QC,0.0,"","128.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","128.0","2022-10-03","","",HIB01,"7/29/21","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BC29.1,F3,0.025,HIA HIB Ring,HIB01-2,2,2,128
347,Ready For QC,0.0,"","259.0",0,"",Medina Fiber,"",0,"",HOA,"0.0","259.0","2022-09-28","","6148.0",HIB01,"7/29/21","","","","6",0.0,1.0,6148,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BC30,F3,0.025,HIA HIB Ring,HIB01-2,3,3,259
348,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"",HOA,"","28.0","2022-10-05","","",HIB01,"7/29/21","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BC27.1,F3,0.025,HIA HIB Ring,HIB01-2,0,0,28
349,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","241.0","2022-10-13","","7574.0",HIB01,"7/29/21","","","","6",0.0,1.0,7574,"","","","",0,0,"","","","","",0,"","0.0",NO,1,Not Submitted,,,Detailed Design,BC27,F3,0.025,HIA HIB Ring,HIB01-2,3,3,241
350,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"","","0.0","0.0","","","",HIB02,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HIB02-1,F2,0.0,HIA HIB Ring,HIB02-1,0,16,1382
351,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","96.0","2022-09-20","","48704.0",HIB01,"7/29/21","","","","6",0.0,1.0,48704,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,LV10A,F3,0.025,HIA HIB Ring,HIB02-1,1,1,96
352,Ready For QC,0.0,"","264.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","264.0","2022-09-21","","3417.0",HIB01,"7/29/21","","","","6",0.0,1.0,3417,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BW07.1,F3,0.025,HIA HIB Ring,HIB02-1,3,3,264
353,Ready For QC,0.0,"","",0,"",Medina Fiber,"",0,"","","","234.0","2022-09-21","","8531.0",HIB01,"7/29/21","","","","6",0.0,1.0,8531,"","","","",0,0,"","","","","",0,"","0.0",NO,2,Not Submitted,,,Detailed Design,BW06,F3,0.025,HIA HIB Ring,HIB02-1,3,3,234
354,Ready For QC,0.0,"","86.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","86.0","2022-09-22","","2009.0",HIB01,"7/29/21","","","","6",0.0,1.0,2009,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BW05,F3,0.025,HIA HIB Ring,HIB02-1,1,1,86
355,Ready For QC,0.0,"","118.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","118.0","2022-09-26","","3090.0",HIB01,"7/29/21","","","","6",0.0,1.0,3090,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Detailed Design,BW04,F3,0.025,HIA HIB Ring,HIB02-1,1,1,118
