"index","detaileddesignstatus","fiberpullfootage","ponlocationapproved","residentialhhp","strandfootage","constructionpackagestatus","project","permitsapproved","borefootage","asbuiltscomplete","specialprojectsmduhoaother","businesshhp","totalhhp","detaileddesignstartdate","ponsize","projectedborefootage","odc","ponlocationdesigned","detaileddesigncompletiondate","preliminarycxpsenttoconstruction","asbuiltsreceivedfromconstruction","phase","estimatedaerialpercent","estimatedugpercent","estimatedpathfootage","dateconstructionpassedtooperations","poncabinetsetdate","actualactivationdate","constructionstartdate","borefootagecompleted","remainingstrand","targetconstructioncompletedate","actualconstructioncompletedate","asbuiltssenttoengineering","constructionpercentagecompleted","dateopsapprovedforactivation","strandcompleted","targetactivationdate","borefootageremaining","odccabinetready","numpermits","permitapprovalstatus","permitapproveddate","permitsubmitdate","packagestatus","package","hiearchy","packagepercentcomplete","ring","feeder","packagehomesearned","rolluphomesearned","downstreamhomes"
22,Complete,5670.61,"3/22/2021","32.0",6815,Sent to Construction,Medina Fiber,YES,0,"2022-12-05","","4.0","36.0","2021-01-05","","0.0",WHA01,"3/22/2021","2021-01-05","2021-04-05","2022-11-29","1",1.0,0.0,6815,"2022-01-05","2021-06-01","2022-01-01","2021-12-29",0,0,N/A,"2022-01-05","2022-11-29","1.0","2021-09-07",6815,"2021-09-07","0.0",YES,3,Permits Approved,"2022-03-14",,LIT,SV01-FH14,F3,1.0,MWA Ring,WHA01-4,18,18,36
23,"",0.0,"","0.0",0,"",Medina Fiber,"",0,"2022-10-26","","0.0","0.0","","","",WHA02,"","","","","1",0.0,0.0,0,"2022-05-09","","2021-09-07","",0,0,"","2022-05-09","","1.0","2021-09-07",0,"","0.0",YES,1,Permits Approved,,"2022-01-17",LIT,WHA02-1,F2,1.0,MWA Ring,WHA02-1,230,552,658
24,Complete,8985.26,"3/23/2021","162.0",0,Sent to Construction,Medina Fiber,"",24476,"2022-10-26","","1.0","163.0","2020-12-29","","11041.0",WHA02,"3/23/2021","2021-03-31","2021-03-02","2022-08-04","1",0.0,1.0,11041,"2021-04-14","2021-06-01","2021-09-12","2021-03-22",24476,0,N/A,"2021-04-14","2022-08-04","1.0","2021-09-12",0,"2021-09-12","0.0",YES,0,No Permits,,,LIT,WC01-FH01,F3,1.0,MWA Ring,WHA02-1,82,82,163
25,Complete,7404.78,"3/23/2021","104.0",0,Sent to Construction,Medina Fiber,"",14340,"2022-08-04","","7.0","111.0","2020-12-29","","5920.0",WHA02,"3/23/2021","2021-03-31","2021-04-23","2022-06-02","1",0.0,1.0,5920,"2021-05-02","2021-06-01","2021-10-01","2021-04-15",14340,0,N/A,"2021-05-02","2022-06-02","1.0","2021-09-12",0,"2021-09-12","0.0",YES,0,No Permits,,,LIT,WC01-FH02,F3,1.0,MWA Ring,WHA02-1,56,56,111
26,Complete,11564.29,"3/23/2021","169.0",0,Sent to Construction,Medina Fiber,"",18478,"2022-07-07","","1.0","170.0","2020-12-29","","11376.0",WHA02,"3/23/2021","2021-03-31","2021-04-14","2022-06-23","1",0.0,1.0,11376,"2021-05-24","2021-06-01","2021-10-01","2021-05-03",18478,0,N/A,"2021-05-24","2022-06-23","1.0","2021-09-12",0,"2021-09-12","0.0",YES,0,No Permits,,,LIT,WC01-FH03,F3,1.0,MWA Ring,WHA02-1,85,85,170
27,Complete,8889.67,"3/23/2021","41.0",0,Sent to Construction,Medina Fiber,"",5060,"2022-08-02","","10.0","51.0","2020-12-29","","4021.0",WHA02,"3/23/2021","2021-03-31","2021-04-28","2022-06-10","1",0.0,1.0,4021,"2021-06-09","2021-06-01","2021-10-01","2021-05-24",5060,0,N/A,"2021-06-09","2022-06-10","1.0","2021-09-12",0,"2021-09-12","0.0",YES,0,No Permits,,,LIT,WC01-FH04,F3,1.0,MWA Ring,WHA02-1,26,26,51
28,Complete,13822.57,"3/23/2021","95.0",1881,Sent to Construction,Medina Fiber,"",5028,"2022-08-10","","4.0","99.0","2020-12-29","","3284.0",WHA02,"3/23/2021","2021-03-31","2021-04-19","2022-06-23","1",0.36418199419167474,0.6358180058083253,5165,"2021-06-09","2021-06-01","2021-10-01","2021-05-24",5028,1881,N/A,"2021-06-09","2022-06-23","1.0","2021-09-12",0,"2021-09-12","0.0",YES,0,No Permits,,,LIT,WC01-FH05,F3,1.0,MWA Ring,WHA02-1,50,50,99
29,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","64.0","","","",HIA02,"","","","","7",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,HK10B,F3,0.0,HIA Ring,HIA02-2,0,0,64
30,"",0.0,"3/23/2021","10.0",0,"",Medina Fiber,YES,0,"","Greenfield, MBU, Mixed","9.0","19.0","","","",WHA02,"3/23/2021","","","","1",0.0,0.0,0,"","2021-06-01","","",0,0,"","","","","",0,"","0.0",YES,1,Permits Approved,"2022-04-12","2022-01-17",Permits Approved Ready For Construction,WC01-FH05.1,F3,0.1,MWA Ring,WHA02-1,1,1,19
31,Complete,4468.53,"3/23/2021","45.0",457,Sent to Construction,Medina Fiber,"",8752,"2022-08-02","","0.0","45.0","2021-05-03","","4072.0",WHA02,"3/23/2021","2021-06-03","2021-06-14","2022-06-29","1",0.10090527710311327,0.8990947228968867,4529,"2021-08-31","2021-06-01","2021-10-01","2021-07-01",8752,0,N/A,"2021-08-31","2022-06-29","1.0","2021-09-12",457,"2021-09-12","0.0",YES,0,No Permits,,,LIT,WC01-FH06,F3,1.0,MWA Ring,WHA02-1,22,22,45
